button_pressed,high_stakes,initial_points,multiplier,no_bonus,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,False,17.0,1.0,False,3.0,,,"[u'D:B,C:F,E,A', u'D,A:B,C:F,E', u'D,A,C:B:F,E', u'D,A,C,B::F,E', u'D,A,C,B,E::F', u'D,A,C,B,E:F:', u'D,A,C,B:F,E:', u'D,A,C:F,E:B', u'D,A:F,E:B,C', u'D:F,E:B,C,A', u':F,E,D:B,C,A', u'A:F,E,D:B,C', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1089750,"[4186, 4830, 5631, 6633, 7530, 8603, 9424, 10176, 11095, 12657, 13518, 14549, 16472, 17721]",blockworld,17
,False,20.0,1.0,False,7.0,,,"[u'D,B:A:F,C,E', u'D,B,E:A:F,C', u'D,B,E,C:A:F', u'D,B,E,C,A::F', u'D,B,E,C,A:F:', u'D,B,E,C:F:A', u'D,B,E:F:A,C', u'D,B:F,E:A,C', u'D:F,E:A,C,B', u':F,E,D:A,C,B', u'B:F,E,D:A,C', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1108301,"[1716, 2483, 4156, 5567, 6586, 7667, 9076, 10352, 11852, 12784, 13883, 15449, 17525]",blockworld,17
,False,0.0,0.0,True,0.0,,,"[u':D,A,C,E:F,B', u'E:D,A,C:F,B', u'E,C:D,A:F,B', u'E,C,A:D:F,B', u'E,C,A,D::F,B', u'E,C,A,D,B::F', u'E,C,A,D,B:F:', u'E,C,A,D:F:B', u'E,C,A:F:B,D', u'E,C:F:B,D,A', u'E:F:B,D,A,C', u':F,E:B,D,A,C', u'C:F,E:B,D,A', u'C,A:F,E:B,D', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,1130975,"[1490, 2288, 3060, 3760, 4642, 5554, 6602, 7498, 8483, 9919, 10954, 12341, 13312, 14890, 16006, 17649, 19009, 20266, 21813]",blockworld,17
,False,21.0,1.0,False,2.0,,,"[u'E:D,A,B,C:F', u'E,C:D,A,B:F', u'E,C,B:D,A:F', u'E,C,B,A:D:F', u'E,C,B,A,D::F', u'E,C,B,A,D:F:', u'E,C,B,A:F:D', u'E,C,B:F:D,A', u'E,C:F:D,A,B', u'E:F:D,A,B,C', u':F,E:D,A,B,C', u'C:F,E:D,A,B', u'C,B:F,E:D,A', u'C,B,A:F,E:D', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1156044,"[3198, 3900, 4646, 7258, 8506, 9533, 10377, 11213, 12387, 13977, 14783, 15581, 16643, 18058, 19005, 20283, 21639, 22753, 23950]",blockworld,17
,False,6.0,1.0,False,3.0,,,"[u'A,C::B', u'A:C:B', u'A:C,B:', u':C,B,A:']",,51904,"[11396, 12715, 14266]",blockworld,21
,False,0.0,0.0,True,0.0,,,"[u':A,B,D:C', u'D:A,B:C', u'D:A:C,B', u'D::C,B,A', u':D:C,B,A', u'A:D:C,B', u'A,B:D:C', u'A,B:D,C:', u'A:D,C,B:', u':D,C,B,A:']",,81334,"[7580, 9428, 16132, 17461, 22124, 22972, 25244, 26164, 27540]",blockworld,21
,False,22.0,1.0,False,0.0,,,"[u'E,C:B,A:D', u'E:B,A:D,C', u':B,A,E:D,C', u'C:B,A,E:D', u'C:B,A,E,D:', u'C:B,A,E:D', u'C,E:B,A:D', u'C,E,A:B:D', u'C,E,A,B::D', u'C,E,A,B:D:', u'C,E,A:D:B', u'C,E:D:B,A', u'C:D:B,A,E', u':D:B,A,E,C', u'D::B,A,E,C', u'D,C::B,A,E', u'D,C:E:B,A', u'D:E:B,A,C', u':E,D:B,A,C', u':E,D,C:B,A', u'A:E,D,C:B', u'A:E,D,C,B:', u':E,D,C,B,A:']",,137886,"[10045, 16413, 18365, 19837, 28077, 30997, 31677, 33180, 34269, 35357, 38701, 41885, 43413, 44605, 46252, 47077, 48740, 49733, 50916, 52685, 53932, 55436]",blockworld,21
,False,24.0,1.0,False,3.0,,,"[u'F,B:D,A,C,E:', u'F,B:D,A,C:E', u'F,B,C:D,A:E', u'F,B,C,A:D:E', u'F,B,C,A,D::E', u'F,B,C,A,D:E:', u'F,B,C,A,D::E', u'F,B,C,A::E,D', u'F,B,C::E,D,A', u'F,B::E,D,A,C', u'F::E,D,A,C,B', u':F:E,D,A,C,B', u'B:F:E,D,A,C', u'B,C:F:E,D,A', u'B,C,A:F:E,D', u'B,C,A,D:F:E', u'B,C,A,D:F,E:', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,172735,"[3292, 8005, 9245, 11700, 12644, 16965, 18206, 18934, 19845, 20942, 21829, 23309, 24197, 24853, 25765, 26750, 28981, 30230, 31190, 32437, 33757]",blockworld,21
,False,20.0,1.0,False,3.0,,,"[u'E:B:F,C,D,A', u':B:F,C,D,A,E', u'B::F,C,D,A,E', u'B,E::F,C,D,A', u'B,E,A::F,C,D', u'B,E,A,D::F,C', u'B,E,A,D,C::F', u'B,E,A,D,C:F:', u'B,E,A,D:F:C', u'B,E,A:F:C,D', u'B,E:F:C,D,A', u'B:F,E:C,D,A', u'B,A:F,E:C,D', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,199470,"[5268, 8164, 9037, 9765, 10629, 11676, 13220, 14740, 16325, 17396, 18100, 18916, 20116, 21924, 23404, 24364, 25588]",blockworld,21
,False,20.0,1.0,False,4.0,,,"[u'E:C:F,B,A,D', u'E,D:C:F,B,A', u'E,D,A:C:F,B', u'E,D,A,B:C:F', u'E,D,A,B,C::F', u'E,D,A,B,C:F:', u'E,D,A,B:F:C', u'E,D,A:F:C,B', u'E,D:F:C,B,A', u'E:F:C,B,A,D', u':F,E:C,B,A,D', u':F,E,D:C,B,A', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,231415,"[12110, 12998, 13918, 15126, 16270, 17334, 18718, 20213, 21326, 22253, 24918, 25837, 26638, 27565, 29077, 31158]",blockworld,21
